,,,1.224,-0.064
,,,1.226,-0.0648
,,,1.228,-0.0624
,,,1.23,-0.0592
,,,1.232,-0.0536
,,,1.234,-0.0464
,,,1.236,-0.0368
,,,1.238,-0.0296
,,,1.24,-0.0184
,,,1.242,-0.008
,,,1.244,0.0016
,,,1.246,0.0104
,,,1.248,0.0208
,,,1.25,0.0288
,,,1.252,0.0368
,,,1.254,0.0448
,,,1.256,0.0512
,,,1.258,0.0544
,,,1.26,0.0584
,,,1.262,0.0584
,,,1.264,0.0584
,,,1.266,0.0568
,,,1.268,0.0536
,,,1.27,0.0464
,,,1.272,0.04
,,,1.274,0.0312
,,,1.276,0.0208
,,,1.278,0.0088
,,,1.28,-0.0024
,,,1.282,-0.0152
,,,1.284,-0.0264
,,,1.286,-0.0384
,,,1.288,-0.0464
,,,1.29,-0.0536
,,,1.292,-0.0592
,,,1.294,-0.0624
,,,1.296,-0.0624
,,,1.298,-0.0608
,,,1.3,-0.0584
,,,1.302,-0.0528
,,,1.304,-0.0464
,,,1.306,-0.0376
,,,1.308,-0.028
,,,1.31,-0.0184
,,,1.312,-0.008
,,,1.314,0.0016
,,,1.316,0.012
,,,1.318,0.0208
,,,1.32,0.0296
,,,1.322,0.0368
,,,1.324,0.0432
,,,1.326,0.0488
,,,1.328,0.0528
,,,1.33,0.0568
,,,1.332,0.0584
,,,1.334,0.0584
,,,1.336,0.0568
,,,1.338,0.0528
,,,1.34,0.0472
,,,1.342,0.0392
,,,1.344,0.0296
,,,1.346,0.0192
,,,1.348,0.0088
,,,1.35,-0.0032
,,,1.352,-0.0152
,,,1.354,-0.0256
,,,1.356,-0.0368
,,,1.358,-0.0456
,,,1.36,-0.052
,,,1.362,-0.0584
,,,1.364,-0.0616
,,,1.366,-0.0632
,,,1.368,-0.0608
,,,1.37,-0.0584
,,,1.372,-0.052
,,,1.374,-0.044
,,,1.376,-0.0352
,,,1.378,-0.0264
,,,1.38,-0.0168
,,,1.382,-0.008
,,,1.384,0.0016
,,,1.386,0.0112
,,,1.388,0.0208
,,,1.39,0.028
,,,1.392,0.036
,,,1.394,0.044
,,,1.396,0.0504
,,,1.398,0.0528
,,,1.4,0.056
,,,1.402,0.0576
,,,1.404,0.0568
,,,1.406,0.0552
,,,1.408,0.0504
,,,1.41,0.0456
,,,1.412,0.0376
,,,1.414,0.0296
,,,1.416,0.0208
,,,1.418,0.0088
,,,1.42,-0.0024
,,,1.422,-0.0152
,,,1.424,-0.0264
,,,1.426,-0.0368
,,,1.428,-0.0456
,,,1.43,-0.052
,,,1.432,-0.0568
,,,1.434,-0.06
,,,1.436,-0.0608
,,,1.438,-0.0592
,,,1.44,-0.056
,,,1.442,-0.0512
,,,1.444,-0.0448
,,,1.446,-0.0368
,,,1.448,-0.0272
,,,1.45,-0.0176
,,,1.452,-0.0072
,,,1.454,0.0032
,,,1.456,0.012
,,,1.458,0.0208
,,,1.46,0.0288
,,,1.462,0.0368
,,,1.464,0.0424
,,,1.466,0.0488
,,,1.468,0.052
,,,1.47,0.056
,,,1.472,0.0568
,,,1.474,0.0576
,,,1.476,0.0552
,,,1.478,0.0504
,,,1.48,0.0448
,,,1.482,0.0368
,,,1.484,0.0288
,,,1.486,0.0184
,,,1.488,0.008
,,,1.49,-0.004
,,,1.492,-0.0152
,,,1.494,-0.0264
,,,1.496,-0.0352
,,,1.498,-0.0448
,,,1.5,-0.0512
,,,1.502,-0.0568
,,,1.504,-0.06
,,,1.506,-0.0616
