time_s,y,y_error,is_molecular
2.469590000000000146e+03,1.946052995995060764e+00,2.333380945579202961e-02,0.000000000000000000e+00
2.499800000000000182e+03,1.929925936611059045e+00,2.338800987080853419e-02,0.000000000000000000e+00
2.529960000000000036e+03,1.919302131819530022e+00,2.342419529943370188e-02,0.000000000000000000e+00
2.559969999999999800e+03,1.902376147031584974e+00,2.348264645319168148e-02,0.000000000000000000e+00
2.590130000000000109e+03,1.885644391410856713e+00,2.354140745910842866e-02,0.000000000000000000e+00
2.620179999999999836e+03,1.876008701672954970e+00,2.357569629561540731e-02,0.000000000000000000e+00
2.650230000000000018e+03,1.860943433566715655e+00,2.362997293850508523e-02,0.000000000000000000e+00
2.680250000000000000e+03,1.847036484717894611e+00,2.368080744362088125e-02,0.000000000000000000e+00
2.710269999999999982e+03,1.833956517927843421e+00,2.372926852650752635e-02,0.000000000000000000e+00
2.740429999999999836e+03,1.818109244550837333e+00,2.378883802473945666e-02,0.000000000000000000e+00
2.770440000000000055e+03,1.805300704794721822e+00,2.383767963431878550e-02,0.000000000000000000e+00
2.800610000000000127e+03,1.793524577174721912e+00,2.388313978637740184e-02,0.000000000000000000e+00
2.830699999999999818e+03,1.784566998646550440e+00,2.391807957025348166e-02,0.000000000000000000e+00
2.860869999999999891e+03,1.770093106254987170e+00,2.397520182579963854e-02,0.000000000000000000e+00
2.890940000000000055e+03,1.757064499431168159e+00,2.402733202194844500e-02,0.000000000000000000e+00
2.921099999999999909e+03,1.743584116023623398e+00,2.408198957641050769e-02,0.000000000000000000e+00
2.951190000000000055e+03,1.729068129888135186e+00,2.414167583490080260e-02,0.000000000000000000e+00
2.981239999999999782e+03,1.712752336272988618e+00,2.420980484109520187e-02,1.000000000000000000e+00
3.011269999999999982e+03,1.702017093727193675e+00,2.425524156791248470e-02,1.000000000000000000e+00
3.041409999999999854e+03,1.690280300278201198e+00,2.430547869396790586e-02,1.000000000000000000e+00
3.071460000000000036e+03,1.676610461472314961e+00,2.436473800351572280e-02,1.000000000000000000e+00
3.101679999999999836e+03,1.661081145585938668e+00,2.443304843304843627e-02,1.000000000000000000e+00
3.131769999999999982e+03,1.646849297432246617e+00,2.449658998959657746e-02,1.000000000000000000e+00
3.161820000000000164e+03,1.633193500788497010e+00,2.455841568688723123e-02,1.000000000000000000e+00
3.191929999999999836e+03,1.619507048110884195e+00,2.462123312081732768e-02,1.000000000000000000e+00
3.222110000000000127e+03,1.611555668405102004e+00,2.465812477547598899e-02,1.000000000000000000e+00
3.252210000000000036e+03,1.597567739863613001e+00,2.472374013357619971e-02,1.000000000000000000e+00
3.282260000000000218e+03,1.585186202631808206e+00,2.478259087742305800e-02,1.000000000000000000e+00
3.312460000000000036e+03,1.572151327648083852e+00,2.484533942287730710e-02,1.000000000000000000e+00
3.342469999999999800e+03,1.560121609878138971e+00,2.490397949321342813e-02,1.000000000000000000e+00
3.372469999999999800e+03,1.543853511221255470e+00,2.498441037030709258e-02,1.000000000000000000e+00
3.402559999999999945e+03,1.530264826529921907e+00,2.505260423431614550e-02,1.000000000000000000e+00
3.432750000000000000e+03,1.520519263211122185e+00,2.510208542823416308e-02,1.000000000000000000e+00
3.462780000000000200e+03,1.508733208312468266e+00,2.516257465162574647e-02,1.000000000000000000e+00
3.492880000000000109e+03,1.496985642962517904e+00,2.522357996508661424e-02,1.000000000000000000e+00
3.522969999999999800e+03,1.481649994436643469e+00,2.530430434980228058e-02,1.000000000000000000e+00
3.553079999999999927e+03,1.471416454536712992e+00,2.535886485741837768e-02,1.000000000000000000e+00
3.583159999999999854e+03,1.456053605534743500e+00,2.544182793191886172e-02,1.000000000000000000e+00
3.613329999999999927e+03,1.443288872639699072e+00,2.551173664572804756e-02,1.000000000000000000e+00
3.643420000000000073e+03,1.433416468188625670e+00,2.556642022418316104e-02,1.000000000000000000e+00
3.673500000000000000e+03,1.420550849797981074e+00,2.563849833309175125e-02,1.000000000000000000e+00
3.703570000000000164e+03,1.408300441382505319e+00,2.570799706529713902e-02,1.000000000000000000e+00
3.733670000000000073e+03,1.396888049330760495e+00,2.577351209617572900e-02,1.000000000000000000e+00
3.763769999999999982e+03,1.383941595536293478e+00,2.584874454969177462e-02,1.000000000000000000e+00
3.793869999999999891e+03,1.370825330215958981e+00,2.592596354034428299e-02,1.000000000000000000e+00
3.823969999999999800e+03,1.358357742426868020e+00,2.600030849915162603e-02,1.000000000000000000e+00
3.854050000000000182e+03,1.343021448886423830e+00,2.609304025479037420e-02,1.000000000000000000e+00
3.884250000000000000e+03,1.335053696926294498e+00,2.614178201147307826e-02,1.000000000000000000e+00
3.914340000000000146e+03,1.324472147476547734e+00,2.620711664273176963e-02,1.000000000000000000e+00
3.944349999999999909e+03,1.313562364953791750e+00,2.627520567833521725e-02,1.000000000000000000e+00
3.974360000000000127e+03,1.297080560575061048e+00,2.637948942218334633e-02,1.000000000000000000e+00
4.004519999999999982e+03,1.287192000076679221e+00,2.644288632473913714e-02,1.000000000000000000e+00
4.034550000000000182e+03,1.272285444508023389e+00,2.653964695993275488e-02,1.000000000000000000e+00
4.064610000000000127e+03,1.260787825880168356e+00,2.661527124312680626e-02,1.000000000000000000e+00
4.094809999999999945e+03,1.248238462623922240e+00,2.669881177888754759e-02,1.000000000000000000e+00
4.124810000000000400e+03,1.239475074168432611e+00,2.675777404597834072e-02,1.000000000000000000e+00
4.154819999999999709e+03,1.226653638548993897e+00,2.684497624494104964e-02,1.000000000000000000e+00
4.184960000000000036e+03,1.216039705544073923e+00,2.691801529432686843e-02,1.000000000000000000e+00
4.215010000000000218e+03,1.206509583977906086e+00,2.698425997965168618e-02,1.000000000000000000e+00
4.245130000000000109e+03,1.193498136031915013e+00,2.707572909719274667e-02,1.000000000000000000e+00
4.275189999999999600e+03,1.183014709734458325e+00,2.715029716316402081e-02,1.000000000000000000e+00
4.305210000000000036e+03,1.166706979133447231e+00,2.726785825496668217e-02,1.000000000000000000e+00
4.335420000000000073e+03,1.155181640156003997e+00,2.735210735210735072e-02,1.000000000000000000e+00
4.365500000000000000e+03,1.143011875964794033e+00,2.744212741534340916e-02,1.000000000000000000e+00
4.395550000000000182e+03,1.135329871603272700e+00,2.749951802583381136e-02,1.000000000000000000e+00
4.425680000000000291e+03,1.122914581191074568e+00,2.759320710521178874e-02,1.000000000000000000e+00
4.455689999999999600e+03,1.114026214720463814e+00,2.766099914658963835e-02,1.000000000000000000e+00
4.485880000000000109e+03,1.097878686314358587e+00,2.778570952031489405e-02,1.000000000000000000e+00
4.516000000000000000e+03,1.088763952613295283e+00,2.785699858614421390e-02,1.000000000000000000e+00
4.546010000000000218e+03,1.074387899777244915e+00,2.797076702411037397e-02,1.000000000000000000e+00
4.576199999999999818e+03,1.062846932221367391e+00,2.806329026463069004e-02,1.000000000000000000e+00
4.606369999999999891e+03,1.047810101737723487e+00,2.818545276004769465e-02,1.000000000000000000e+00
4.636479999999999563e+03,1.040771288978259879e+00,2.824327187963551755e-02,1.000000000000000000e+00
4.666539999999999964e+03,1.031973786334898113e+00,2.831611202166322769e-02,1.000000000000000000e+00
4.696720000000000255e+03,1.018197289480464507e+00,2.843147171447149568e-02,1.000000000000000000e+00
4.726729999999999563e+03,1.010072471481367584e+00,2.850025493480953104e-02,1.000000000000000000e+00
4.756729999999999563e+03,9.971700125997786657e-01,2.861063971076514487e-02,1.000000000000000000e+00
4.786939999999999600e+03,9.882764536467758543e-01,2.868756048537184425e-02,1.000000000000000000e+00
4.817140000000000327e+03,9.759925751201992128e-01,2.879493556409676649e-02,1.000000000000000000e+00
4.847159999999999854e+03,9.623342703754818039e-01,2.891588356635342583e-02,1.000000000000000000e+00
4.877210000000000036e+03,9.472466159946004716e-01,2.905142325292793884e-02,1.000000000000000000e+00
4.907250000000000000e+03,9.372691382593471010e-01,2.914218566392478768e-02,1.000000000000000000e+00
4.937279999999999745e+03,9.312975639806774231e-01,2.919694223343052494e-02,1.000000000000000000e+00
4.967300000000000182e+03,9.211588632710155933e-01,2.929066157153093278e-02,1.000000000000000000e+00
4.997399999999999636e+03,9.083392020865349581e-01,2.941053140875736147e-02,1.000000000000000000e+00
5.027460000000000036e+03,8.940451229268354671e-01,2.954601226993864779e-02,1.000000000000000000e+00
5.057579999999999927e+03,8.815336419161500237e-01,2.966619729975979863e-02,1.000000000000000000e+00
5.087600000000000364e+03,8.718789685033428993e-01,2.975997323743413345e-02,1.000000000000000000e+00
5.117729999999999563e+03,8.597627075322826773e-01,2.987894692288156628e-02,1.000000000000000000e+00
5.147859999999999673e+03,8.495524597240808884e-01,2.998033011203284429e-02,1.000000000000000000e+00
5.178020000000000437e+03,8.361213495110524363e-01,3.011528126896073285e-02,1.000000000000000000e+00
5.208029999999999745e+03,8.288137919814789756e-01,3.018947000785819970e-02,1.000000000000000000e+00
5.238060000000000400e+03,8.196917218849015807e-01,3.028284430346286221e-02,1.000000000000000000e+00
5.268069999999999709e+03,8.090618051563012170e-01,3.039273310179001208e-02,1.000000000000000000e+00
5.298159999999999854e+03,7.975972819164097727e-01,3.051256643545626271e-02,1.000000000000000000e+00
5.328319999999999709e+03,7.845406089891562296e-01,3.065072556356666228e-02,1.000000000000000000e+00
5.358340000000000146e+03,7.713112015292997725e-01,3.079256450568759393e-02,1.000000000000000000e+00
5.388560000000000400e+03,7.646302821818096174e-01,3.086491015734102797e-02,1.000000000000000000e+00
5.418630000000000109e+03,7.511330297585984139e-01,3.101255072190242656e-02,1.000000000000000000e+00
5.448840000000000146e+03,7.389805969031174593e-01,3.114719648486006381e-02,1.000000000000000000e+00
5.478920000000000073e+03,7.251302264129962927e-01,3.130266343825665459e-02,1.000000000000000000e+00
5.509109999999999673e+03,7.157889110407699151e-01,3.140873985726855971e-02,1.000000000000000000e+00
5.539319999999999709e+03,7.059646842705599168e-01,3.152137427189258267e-02,1.000000000000000000e+00
5.569350000000000364e+03,6.932471755602788166e-01,3.166883311668833301e-02,1.000000000000000000e+00
5.599569999999999709e+03,6.852158102336651790e-01,3.176292712428183118e-02,1.000000000000000000e+00
5.629710000000000036e+03,6.726383039284049570e-01,3.191180973767479556e-02,1.000000000000000000e+00
5.659729999999999563e+03,6.627910605450462178e-01,3.202968766106586984e-02,1.000000000000000000e+00
5.689850000000000364e+03,6.515957534017102759e-01,3.216512040029188141e-02,1.000000000000000000e+00
5.720029999999999745e+03,6.415380468267152247e-01,3.228809097609771500e-02,1.000000000000000000e+00
5.750210000000000036e+03,6.309525769668276052e-01,3.241885708204746142e-02,1.000000000000000000e+00
5.780399999999999636e+03,6.198235161411019822e-01,3.255783923383191725e-02,1.000000000000000000e+00
5.810489999999999782e+03,6.076982187274626579e-01,3.271103365646443883e-02,1.000000000000000000e+00
5.840520000000000437e+03,5.985067764058245032e-01,3.282840496867098917e-02,1.000000000000000000e+00
5.870539999999999964e+03,5.910037068912419311e-01,3.292501938199136197e-02,1.000000000000000000e+00
5.900560000000000400e+03,5.789701354975460568e-01,3.308149310615401961e-02,1.000000000000000000e+00
5.930670000000000073e+03,5.681506903852603374e-01,3.322379603399433501e-02,1.000000000000000000e+00
5.960680000000000291e+03,5.585866871642507503e-01,3.335087518590550137e-02,1.000000000000000000e+00
5.990699999999999818e+03,5.475432067011536397e-01,3.349913244650086497e-02,1.000000000000000000e+00
6.020760000000000218e+03,5.373117490018174403e-01,3.363795722800046878e-02,1.000000000000000000e+00
6.050819999999999709e+03,5.274467247822267613e-01,3.377316180809630808e-02,1.000000000000000000e+00
6.080859999999999673e+03,5.107856229659694103e-01,3.400456018240729378e-02,1.000000000000000000e+00
6.110909999999999854e+03,5.016234130011913983e-01,3.413346251665253656e-02,1.000000000000000000e+00
6.141090000000000146e+03,4.840298009788276401e-01,3.438432145938617041e-02,1.000000000000000000e+00
6.171300000000000182e+03,4.771033663609585140e-01,3.448429936701005727e-02,1.000000000000000000e+00
6.201340000000000146e+03,4.706284340145777678e-01,3.457838850718301243e-02,1.000000000000000000e+00
6.231500000000000000e+03,4.615933618857657739e-01,3.471070213034160856e-02,1.000000000000000000e+00
6.261670000000000073e+03,4.483968754916768384e-01,3.490611827819645185e-02,1.000000000000000000e+00
6.291789999999999964e+03,4.386419528027215575e-01,3.505223784341545551e-02,1.000000000000000000e+00
6.321979999999999563e+03,4.235669434721466287e-01,3.528086945135524427e-02,1.000000000000000000e+00
6.352100000000000364e+03,4.130363736044823653e-01,3.544263596665343796e-02,1.000000000000000000e+00
6.382229999999999563e+03,4.039973648331296463e-01,3.558285485378555324e-02,1.000000000000000000e+00
6.412310000000000400e+03,3.856704807799850587e-01,3.587107303141574832e-02,1.000000000000000000e+00
6.442439999999999600e+03,3.752807769308492136e-01,3.603682836333654133e-02,1.000000000000000000e+00
6.472470000000000255e+03,3.625576070968878906e-01,3.624217118997911935e-02,1.000000000000000000e+00
6.502670000000000073e+03,3.524861833172779346e-01,3.640657950231969420e-02,1.000000000000000000e+00
6.532880000000000109e+03,3.457151037023903917e-01,3.651804670912951051e-02,1.000000000000000000e+00
6.562970000000000255e+03,3.354717362876292741e-01,3.668811668811668841e-02,1.000000000000000000e+00
6.593149999999999636e+03,3.193260777862425015e-01,3.695974422322337305e-02,1.000000000000000000e+00
6.623340000000000146e+03,3.129111264975566464e-01,3.706888986397542662e-02,1.000000000000000000e+00
6.653560000000000400e+03,3.040966137198756747e-01,3.722000885347499094e-02,1.000000000000000000e+00
6.683720000000000255e+03,2.892308724416314814e-01,3.747790924067694734e-02,1.000000000000000000e+00
6.713729999999999563e+03,2.802041825958221377e-01,3.763639111379779578e-02,1.000000000000000000e+00
6.743930000000000291e+03,2.735324368473389667e-01,3.775445002282062923e-02,1.000000000000000000e+00
6.773960000000000036e+03,2.612867610922494643e-01,3.797320190974896176e-02,1.000000000000000000e+00
6.804170000000000073e+03,2.463912180339002667e-01,3.824292637173675596e-02,1.000000000000000000e+00
6.834279999999999745e+03,2.331730869513883309e-01,3.848566450182163562e-02,1.000000000000000000e+00
6.864460000000000036e+03,2.210613851098852389e-01,3.871091871091870973e-02,1.000000000000000000e+00
6.894500000000000000e+03,2.107470309776585671e-01,3.890490847237972061e-02,1.000000000000000000e+00
6.924550000000000182e+03,2.035936920694945140e-01,3.904062652961331342e-02,1.000000000000000000e+00
6.954729999999999563e+03,1.930966299619133186e-01,3.924154987633965419e-02,1.000000000000000000e+00
6.984760000000000218e+03,1.784808574080167798e-01,3.952484524008700179e-02,1.000000000000000000e+00
7.014829999999999927e+03,1.710920748424059057e-01,3.966964436204280936e-02,1.000000000000000000e+00
7.045000000000000000e+03,1.636482915283334894e-01,3.981660723382577510e-02,1.000000000000000000e+00
7.075079999999999927e+03,1.492817027157546661e-01,4.010335917312660842e-02,1.000000000000000000e+00
7.105220000000000255e+03,1.381954987513996647e-01,4.032746908204144776e-02,1.000000000000000000e+00
7.135399999999999636e+03,1.269850117544887580e-01,4.055663202395631828e-02,1.000000000000000000e+00
7.165619999999999891e+03,1.113624678534608364e-01,4.088030059044552023e-02,1.000000000000000000e+00
7.195810000000000400e+03,1.034587083682301650e-01,4.104598737601442698e-02,1.000000000000000000e+00
7.225979999999999563e+03,8.965787193053539883e-02,4.133845309928688844e-02,1.000000000000000000e+00
7.256069999999999709e+03,7.714620917665394872e-02,4.160710979448249691e-02,1.000000000000000000e+00
7.286159999999999854e+03,6.672363204290833461e-02,4.183348924228250110e-02,1.000000000000000000e+00
7.316260000000000218e+03,6.147132208810095894e-02,4.194846718074102254e-02,1.000000000000000000e+00
7.346329999999999927e+03,5.619127964974256206e-02,4.206466250709018501e-02,1.000000000000000000e+00
7.376529999999999745e+03,5.088321031457003485e-02,4.218209465881010700e-02,1.000000000000000000e+00
7.406579999999999927e+03,3.864362359220431531e-02,4.245526265152973350e-02,1.000000000000000000e+00
7.436649999999999636e+03,2.780970063926744770e-02,4.269986383971989541e-02,1.000000000000000000e+00
7.466850000000000364e+03,1.921421892380459004e-02,4.289582107121835824e-02,1.000000000000000000e+00
7.496949999999999818e+03,4.987541511039188247e-03,4.322388059701492979e-02,1.000000000000000000e+00
7.527130000000000109e+03,-7.024614936964354399e-03,4.350453172205438063e-02,1.000000000000000000e+00
7.557199999999999818e+03,-1.673932400429777034e-02,4.373398413666869378e-02,1.000000000000000000e+00
7.587289999999999964e+03,-2.490763570618500719e-02,4.392864465860160661e-02,1.000000000000000000e+00
7.617369999999999891e+03,-3.479850554269554169e-02,4.416649409815696925e-02,1.000000000000000000e+00
7.647420000000000073e+03,-5.066191480222811266e-02,4.455291394908479641e-02,1.000000000000000000e+00
7.677630000000000109e+03,-6.166266039210675093e-02,4.482450542437779045e-02,1.000000000000000000e+00
7.707659999999999854e+03,-8.229524272683015618e-02,4.534201954397394652e-02,1.000000000000000000e+00
7.737670000000000073e+03,-9.365155608145550592e-02,4.563145179002855989e-02,1.000000000000000000e+00
7.767810000000000400e+03,-9.453048384623340128e-02,4.565398988788745699e-02,1.000000000000000000e+00
7.797930000000000291e+03,-1.042500213737991149e-01,4.590455049944506399e-02,1.000000000000000000e+00
7.828109999999999673e+03,-1.140649562879725437e-01,4.616005379959650656e-02,1.000000000000000000e+00
7.858140000000000327e+03,-1.257900060582999024e-01,4.646858698117486974e-02,1.000000000000000000e+00
7.888319999999999709e+03,-1.367365235734708806e-01,4.675991745012611500e-02,1.000000000000000000e+00
7.918479999999999563e+03,-1.422550475808709858e-01,4.690800092229650831e-02,1.000000000000000000e+00
7.948520000000000437e+03,-1.561860831893286117e-01,4.728548047696983642e-02,1.000000000000000000e+00
7.978560000000000400e+03,-1.712629294372206012e-01,4.769997626394492651e-02,1.000000000000000000e+00
8.008760000000000218e+03,-1.856069477854838945e-01,4.810016855285335902e-02,1.000000000000000000e+00
8.038930000000000291e+03,-1.952852231858130672e-01,4.837345003646972841e-02,1.000000000000000000e+00
8.069039999999999964e+03,-2.070241694343262495e-01,4.870848708487084122e-02,1.000000000000000000e+00
8.099130000000000109e+03,-2.238938327049137533e-01,4.919689767325493429e-02,1.000000000000000000e+00
8.129170000000000073e+03,-2.329413937943207724e-01,4.946225700580661466e-02,1.000000000000000000e+00
8.159310000000000400e+03,-2.451335692058250193e-01,4.982366470738563979e-02,1.000000000000000000e+00
8.189420000000000073e+03,-2.595482332080095156e-01,5.025667617319160008e-02,1.000000000000000000e+00
8.219540000000000873e+03,-2.678794451556010259e-01,5.050980392156861898e-02,1.000000000000000000e+00
8.249569999999999709e+03,-2.731219211204510833e-01,5.067017082785808119e-02,1.000000000000000000e+00
