time_s,pt1_mbar,y,y_error,reynolds,in_laminar_fit
2.192800000000000011e+02,1.045000000000000000e+03,-4.543294782270003829e+00,3.214303604033234563e-01,6.770715030882776375e+00,1.000000000000000000e+00
2.243600000000000136e+02,1.042000000000000000e+03,-4.688446526228692512e+00,3.721772166384335057e-01,6.819523141327811899e+00,1.000000000000000000e+00
2.293600000000000136e+02,1.040000000000000000e+03,-4.798703169015035463e+00,4.159592874653841865e-01,5.472991996505355949e+00,1.000000000000000000e+00
2.344399999999999977e+02,1.038000000000000000e+03,-4.922896379788248566e+00,4.714170056755905835e-01,4.066670591636110110e+00,0.000000000000000000e+00
2.395600000000000023e+02,1.037000000000000000e+03,-4.991403932168368307e+00,5.050879361707134585e-01,4.040098383647126923e+00,0.000000000000000000e+00
2.446800000000000068e+02,1.035000000000000000e+03,-5.144583266605994964e+00,5.892656680844297057e-01,4.038789652748842940e+00,0.000000000000000000e+00
2.498100000000000023e+02,1.034000000000000000e+03,-5.231108616854586835e+00,6.428335378133721578e-01,2.698752442593451040e+00,0.000000000000000000e+00
2.549000000000000057e+02,1.033000000000000000e+03,-5.325932533581010375e+00,7.071151450361999879e-01,2.701359569558678952e+00,0.000000000000000000e+00
2.600199999999999818e+02,1.032000000000000000e+03,-5.430806549594115573e+00,7.856817361192869331e-01,1.345383039454710827e+00,0.000000000000000000e+00
2.651299999999999955e+02,1.032000000000000000e+03,-5.430806549594115573e+00,7.856817361192869331e-01,2.746859541878781119e+00,0.000000000000000000e+00
2.701800000000000068e+02,1.030000000000000000e+03,-5.681147267963620351e+00,1.010158416387781921e+00,4.098830351286467888e+00,0.000000000000000000e+00
2.752099999999999795e+02,1.029000000000000000e+03,-5.834810737062604780e+00,1.178516339890026687e+00,2.741590950864599030e+00,0.000000000000000000e+00
